judge_model_name,criterion,locale,n_prompts,mean,std,se,ci95_low,ci95_high,ci90_low,ci90_high
DeepSeek-V3,instruction_following,hi_IN,46,0.623731884057971,0.14242138172746946,0.02099888712018142,0.583695652173913,0.664855072463768,0.5900362318840581,0.658161231884058
Claude-4,instruction_following,hi_IN,46,0.6097826086956522,0.14850390055801468,0.021895705594906004,0.5673913043478261,0.6521784420289855,0.5735507246376812,0.6452898550724638
Llama-4-Maverick,instruction_following,hi_IN,46,0.5748188405797101,0.1575711590224014,0.02323259991985723,0.5302536231884057,0.6201086956521739,0.5376811594202898,0.6126811594202899
Mistral-Medium,instruction_following,hi_IN,46,0.5717391304347825,0.13498374685962783,0.01990226768610098,0.5336956521739131,0.6099637681159421,0.5396739130434783,0.6043478260869566
AyaExpanse-32B,instruction_following,hi_IN,46,0.551268115942029,0.16880999062888585,0.024889675236812785,0.5043478260869566,0.5983695652173913,0.511947463768116,0.5904076086956521
AyaExpanse-8B,instruction_following,hi_IN,46,0.5302536231884057,0.1726281836821427,0.02545263708956201,0.48206521739130437,0.5795289855072464,0.488768115942029,0.5713768115942031
CommandR7B,instruction_following,hi_IN,46,0.5240942028985507,0.1460089235061494,0.021527841297817412,0.4827898550724638,0.5654030797101449,0.4889492753623189,0.5590579710144926
Llama-3.1-8B,instruction_following,hi_IN,46,0.5159420289855072,0.1595308136859394,0.02352153523683734,0.47119565217391296,0.5623233695652173,0.47771739130434787,0.555072463768116
Qwen2.5-7B,instruction_following,hi_IN,46,0.504891304347826,0.13163942623693428,0.01940917451148188,0.46666666666666673,0.5416666666666666,0.4729981884057971,0.5353260869565217
Mistral-7B,instruction_following,hi_IN,46,0.4956521739130434,0.14005884048369893,0.02065054941770327,0.4567028985507246,0.5364130434782608,0.46286231884057966,0.529891304347826
GPT-4.1,instruction_following,id_ID,46,0.5965579710144927,0.186897807348939,0.027556578316588674,0.5434782608695652,0.6498188405797102,0.5532608695652173,0.6413043478260869
Claude-4,instruction_following,id_ID,46,0.5702898550724637,0.17055331317665479,0.025146714123464774,0.5211956521739131,0.6197509057971015,0.5306159420289855,0.6116032608695652
CommandA,instruction_following,id_ID,46,0.5666666666666667,0.20184335693983277,0.029760179384080074,0.5090579710144928,0.6253623188405796,0.5186594202898551,0.6153985507246377
Qwen3-235B,instruction_following,id_ID,46,0.5610507246376812,0.19443693912361282,0.028668162653156123,0.5057971014492754,0.6172101449275361,0.514855072463768,0.6072554347826087
DeepSeek-V3,instruction_following,id_ID,46,0.5561594202898551,0.21919771490124634,0.03231893986972321,0.4936594202898552,0.6182971014492753,0.5028985507246377,0.6090670289855071
Mistral-Medium,instruction_following,id_ID,46,0.5331521739130435,0.15114265531089607,0.02228476875748387,0.4905797101449275,0.5764492753623188,0.49727355072463764,0.5695652173913044
AyaExpanse-8B,instruction_following,id_ID,46,0.5322463768115943,0.23556871488172026,0.03473271213105606,0.4652173913043478,0.6005434782608695,0.47554347826086957,0.5884057971014491
CommandR7B,instruction_following,id_ID,46,0.5255434782608697,0.20686073753687412,0.03049995179408148,0.4666666666666666,0.5844202898550724,0.47554347826086957,0.5751811594202898
AyaExpanse-32B,instruction_following,id_ID,46,0.5240942028985508,0.18435094903496224,0.027181064544726578,0.4730027173913043,0.5780842391304348,0.480072463768116,0.5697463768115941
Llama-4-Maverick,instruction_following,id_ID,46,0.5195652173913045,0.18562720997815133,0.02736923895475447,0.46721014492753626,0.5744610507246376,0.47572463768115936,0.5657608695652173
Mistral-7B,instruction_following,id_ID,46,0.5139492753623189,0.235099495274821,0.0346635294743486,0.44818840579710156,0.5826132246376811,0.45887681159420285,0.5710144927536231
Qwen2.5-7B,instruction_following,id_ID,46,0.4871376811594203,0.1686521231628674,0.024866398948809806,0.44039402173913034,0.5364130434782608,0.44800724637681155,0.5280797101449276
Llama-3.1-8B,instruction_following,id_ID,46,0.4416666666666666,0.15447042147644677,0.022775421110558743,0.39981431159420283,0.4876811594202898,0.40652173913043477,0.4804347826086956
Mistral-Medium,instruction_following,ja_JP,46,0.5076086956521739,0.14840537250845057,0.021881178426542146,0.4668478260869566,0.5514492753623188,0.47336956521739143,0.5438496376811593
Claude-4,instruction_following,ja_JP,46,0.505072463768116,0.1339393434310219,0.01974827880157244,0.4673867753623187,0.5438405797101449,0.4735507246376812,0.5375
CommandA,instruction_following,ja_JP,46,0.4909420289855073,0.17614551089688624,0.025971238694540655,0.44239130434782603,0.5414855072463769,0.4494474637681159,0.5327898550724638
GPT-4.1,instruction_following,ja_JP,46,0.4891304347826087,0.1908304590210303,0.028136416171997643,0.4367753623188406,0.5461956521739131,0.4443840579710145,0.5358786231884057
Qwen3-235B,instruction_following,ja_JP,46,0.4746376811594203,0.16679584365972014,0.024592705467695535,0.4277173913043478,0.5226494565217391,0.4353260869565217,0.5153985507246377
DeepSeek-V3,instruction_following,ja_JP,46,0.46086956521739136,0.1591632204902998,0.023467336577003006,0.416304347826087,0.5059782608695652,0.42336956521739133,0.4985507246376812
Llama-4-Maverick,instruction_following,ja_JP,46,0.4360507246376812,0.14609161623035238,0.021540033674833675,0.39655797101449286,0.4778985507246376,0.4025271739130434,0.47137681159420275
Qwen2.5-7B,instruction_following,ja_JP,46,0.43351449275362325,0.14375357355123153,0.021195308088650458,0.3932971014492754,0.4748188405797102,0.39927536231884064,0.46775362318840585
AyaExpanse-32B,instruction_following,ja_JP,46,0.40561594202898554,0.1644111673145557,0.02424110412256818,0.3605072463768116,0.4527173913043478,0.367572463768116,0.4451086956521739
CommandR7B,instruction_following,ja_JP,46,0.38478260869565223,0.14882569500355236,0.021943151597435862,0.3443840579710145,0.4300724637681159,0.3503623188405797,0.42174818840579703
Llama-3.1-8B,instruction_following,ja_JP,46,0.37663043478260877,0.1313112827561517,0.019360792394775818,0.33949275362318837,0.4155842391304348,0.3454619565217391,0.4088768115942029
AyaExpanse-8B,instruction_following,ja_JP,46,0.3721014492753623,0.18231380990425147,0.026880704766334897,0.3213768115942029,0.42518115942028983,0.3289855072463768,0.41539855072463777
Mistral-7B,instruction_following,ja_JP,46,0.37173913043478257,0.1728704490743796,0.025488357172902053,0.3235507246376811,0.42300724637681164,0.3306159420289855,0.4141304347826088
GPT-4.1,instruction_following,ru_RU,46,0.666123188405797,0.19354874791824223,0.028537206004396708,0.6112318840579709,0.7217391304347823,0.6206521739130435,0.7126811594202899
Qwen3-235B,instruction_following,ru_RU,46,0.6514492753623188,0.19766620095368664,0.02914429133431855,0.595828804347826,0.7090579710144927,0.6048913043478261,0.7000090579710144
CommandA,instruction_following,ru_RU,46,0.6503623188405796,0.19984528368909557,0.029465579555450608,0.5925679347826086,0.7076086956521739,0.6021739130434783,0.6980072463768117
DeepSeek-V3,instruction_following,ru_RU,46,0.6402173913043478,0.21333119463501232,0.03145396864584731,0.5807971014492754,0.7014492753623188,0.5898550724637682,0.6918478260869565
Claude-4,instruction_following,ru_RU,46,0.6342391304347827,0.15582544306494864,0.022975208144199576,0.5887681159420289,0.6786231884057972,0.5960144927536232,0.6721014492753623
Mistral-7B,instruction_following,ru_RU,46,0.6112318840579709,0.22514890402910526,0.03319639483618248,0.5494519927536231,0.676453804347826,0.5583333333333333,0.6652173913043478
CommandR7B,instruction_following,ru_RU,46,0.5958333333333333,0.19605483926697653,0.028906709015156958,0.5407608695652174,0.652721920289855,0.5498097826086956,0.6433061594202898
Llama-4-Maverick,instruction_following,ru_RU,46,0.5940217391304348,0.19500445581707393,0.02875183842459059,0.5391259057971013,0.65,0.5476449275362318,0.6413043478260869
Mistral-Medium,instruction_following,ru_RU,46,0.5918478260869566,0.16125940618019416,0.023776402295584934,0.5463768115942029,0.6373188405797101,0.5532608695652174,0.6298913043478261
AyaExpanse-8B,instruction_following,ru_RU,46,0.581340579710145,0.19670263938591384,0.029002221931890452,0.5253577898550723,0.6384057971014492,0.5338768115942029,0.6286231884057971
AyaExpanse-32B,instruction_following,ru_RU,46,0.5639492753623189,0.21853224151074402,0.03222082117125851,0.5048913043478261,0.6268115942028986,0.5137681159420291,0.6166666666666668
Qwen2.5-7B,instruction_following,ru_RU,46,0.5478260869565217,0.20194604754528533,0.029775320287826732,0.4909420289855073,0.6054347826086957,0.5001811594202898,0.5960144927536232
Llama-3.1-8B,instruction_following,ru_RU,46,0.4429347826086958,0.13462301491944487,0.019849080663192853,0.40489130434782616,0.483695652173913,0.41086956521739143,0.4769927536231885
CommandA,instruction_following,zh_CN,46,0.6445652173913043,0.2548251481820447,0.0375719183254222,0.5713768115942031,0.7175769927536231,0.5833333333333333,0.7065217391304348
GPT-4.1,instruction_following,zh_CN,46,0.6327898550724638,0.2518597626516421,0.03713469608206622,0.5615942028985509,0.7050724637681158,0.5737228260869565,0.6938405797101449
Qwen3-235B,instruction_following,zh_CN,46,0.6277173913043478,0.26021746809767965,0.038366972521996424,0.5552536231884058,0.7007246376811594,0.5664764492753622,0.6896739130434782
DeepSeek-V3,instruction_following,zh_CN,46,0.618840579710145,0.25289334832165017,0.037287089975105873,0.5474637681159421,0.6909465579710146,0.5596014492753624,0.6797101449275362
Claude-4,instruction_following,zh_CN,46,0.6105072463768115,0.23015986649251866,0.033935220944006916,0.5447463768115943,0.6764492753623188,0.5559782608695653,0.6657608695652173
AyaExpanse-8B,instruction_following,zh_CN,46,0.5873188405797102,0.2535594697966616,0.03738530422841835,0.5177490942028984,0.6608695652173914,0.5286231884057971,0.6494655797101448
Mistral-Medium,instruction_following,zh_CN,46,0.5869565217391304,0.2301345029013632,0.03393148128651184,0.5215579710144927,0.6530797101449276,0.532427536231884,0.6432971014492753
CommandR7B,instruction_following,zh_CN,46,0.5739130434782609,0.23666672336757388,0.034894604650084995,0.5074275362318841,0.6423913043478261,0.5173913043478261,0.6322463768115942
AyaExpanse-32B,instruction_following,zh_CN,46,0.5445652173913045,0.22931875351549924,0.0338112056013279,0.4817028985507247,0.610330615942029,0.4911231884057972,0.5990942028985508
Mistral-7B,instruction_following,zh_CN,46,0.5378623188405797,0.2527363001485443,0.037263934485252594,0.4666666666666668,0.6126811594202898,0.47807971014492756,0.6000000000000001
Qwen2.5-7B,instruction_following,zh_CN,46,0.5307971014492753,0.20821752014447634,0.03069999847582329,0.47155797101449276,0.5916666666666667,0.4804347826086956,0.5817028985507247
Llama-4-Maverick,instruction_following,zh_CN,46,0.5168478260869565,0.2258761345967171,0.03330361913364681,0.45380434782608703,0.5835190217391304,0.46467391304347827,0.5715579710144927
Llama-3.1-8B,instruction_following,zh_CN,46,0.41721014492753616,0.16947997964282277,0.024988459727629933,0.3702898550724638,0.46847826086956507,0.3782608695652174,0.4590579710144927
Claude-4,naturalness,ar_EG,46,0.5583333333333333,0.16369574306101028,0.024135620571144784,0.5115942028985507,0.6057971014492753,0.5182880434782607,0.5980072463768117
GPT-4.1,naturalness,ar_EG,46,0.5547101449275363,0.1591417197234017,0.02346416646187272,0.510683876811594,0.6010914855072463,0.5179347826086956,0.5940217391304348
CommandA,naturalness,ar_EG,46,0.5317028985507246,0.13021373177214832,0.019198967330714627,0.49510416666666657,0.5692028985507246,0.5007246376811595,0.5634057971014493
Mistral-Medium,naturalness,ar_EG,46,0.5085144927536233,0.12248065015273128,0.018058786649642302,0.4735461956521738,0.5432971014492753,0.478804347826087,0.5382336956521738
Llama-4-Maverick,naturalness,ar_EG,46,0.4938405797101449,0.14453453155049373,0.02131045406373649,0.45326086956521744,0.5360507246376811,0.460144927536232,0.5293478260869566
Qwen3-235B,naturalness,ar_EG,46,0.49166666666666675,0.13296244712579192,0.01960424329936884,0.4539855072463768,0.5306159420289854,0.4597826086956521,0.5239221014492753
DeepSeek-V3,naturalness,ar_EG,46,0.46594202898550724,0.1541786890903503,0.022732407516878946,0.42300724637681164,0.5103260869565217,0.42971014492753623,0.5029076086956522
AyaExpanse-32B,naturalness,ar_EG,46,0.4527173913043478,0.13649101571104819,0.020124502354005744,0.41467391304347834,0.49275815217391306,0.42028985507246375,0.48623188405797096
Qwen2.5-7B,naturalness,ar_EG,46,0.4166666666666667,0.1340374924516124,0.01976275008516299,0.3784420289855073,0.4552536231884058,0.38442028985507254,0.44891304347826083
CommandR7B,naturalness,ar_EG,46,0.4039855072463769,0.1980283924838481,0.029197693562028292,0.3514492753623188,0.4628623188405797,0.3590579710144928,0.4521739130434782
Mistral-7B,naturalness,ar_EG,46,0.39999999999999997,0.21802282132218162,0.03214571126215207,0.3416621376811594,0.4657653985507247,0.3492753623188406,0.4539855072463769
