judge_model_name,criterion,locale,n_prompts,mean,std,se,cv,min,q10,q25,median,q75,q90,max,iqr,range,unstable_count_abs_dev_gt_0.10,unstable_share_abs_dev_gt_0.10
Claude-4,coherence,ru_RU,46,0.6043478260869566,0.17508145485651885,0.025814352190490455,0.2897031267410024,0.325,0.3833333333333333,0.46041666666666664,0.6,0.73125,0.825,1.0,0.2708333333333333,0.675,27,0.5869565217391305
CommandA,coherence,ru_RU,46,0.6300724637681158,0.17436373098123414,0.025708529578339405,0.2767359962669387,0.30833333333333335,0.42083333333333334,0.49166666666666664,0.5916666666666667,0.7583333333333333,0.8291666666666666,1.0,0.26666666666666666,0.6916666666666667,29,0.6304347826086957
DeepSeek-V3,coherence,ru_RU,46,0.5481884057971015,0.174101866764074,0.02566991980591434,0.31759494531979127,0.3416666666666667,0.35833333333333334,0.4083333333333333,0.5083333333333333,0.6270833333333333,0.8208333333333333,1.0,0.21875,0.6583333333333333,26,0.5652173913043478
GPT-4.1,coherence,ru_RU,46,0.632427536231884,0.16869349315345117,0.024872498621147588,0.26673963970411074,0.30833333333333335,0.4083333333333333,0.5145833333333334,0.6583333333333333,0.7583333333333333,0.8291666666666666,1.0,0.2437499999999999,0.6916666666666667,27,0.5869565217391305
Mistral-Medium,coherence,ru_RU,46,0.5903985507246378,0.16338403777701804,0.02408966213432915,0.276735160641037,0.275,0.4041666666666667,0.49374999999999997,0.5666666666666667,0.6645833333333333,0.7708333333333334,1.0,0.17083333333333334,0.725,21,0.45652173913043476
Llama-3.1-8B,coherence,ru_RU,46,0.48695652173913057,0.14696153202383727,0.021668295761115126,0.3017960032632372,0.23333333333333334,0.3208333333333333,0.3958333333333333,0.45833333333333337,0.5645833333333333,0.6666666666666667,0.8833333333333333,0.16875,0.6499999999999999,19,0.41304347826086957
Qwen2.5-7B,coherence,ru_RU,46,0.5181159420289855,0.142944178302491,0.02107596926987368,0.2758922602201925,0.2916666666666667,0.37916666666666665,0.41041666666666665,0.4875,0.575,0.7625,0.875,0.1645833333333333,0.5833333333333333,22,0.4782608695652174
AyaExpanse-8B,coherence,zh_CN,46,0.6387681159420291,0.21641878549216173,0.0319092090816314,0.3388064934534125,0.3,0.37083333333333335,0.49166666666666664,0.5833333333333333,0.7666666666666667,1.0,1.0,0.2750000000000001,0.7,36,0.782608695652174
Mistral-7B,coherence,zh_CN,46,0.5335144927536233,0.20828139449183977,0.030709416234546674,0.39039500767231083,0.23333333333333334,0.31666666666666665,0.37083333333333335,0.4708333333333333,0.6583333333333333,0.875,1.0,0.2875,0.7666666666666666,33,0.717391304347826
GPT-4.1,coherence,zh_CN,46,0.7019927536231884,0.19971572994090703,0.02944647789739049,0.2844982785222727,0.3,0.45416666666666666,0.5291666666666667,0.75,0.875,1.0,1.0,0.3458333333333333,0.7,31,0.6739130434782609
CommandR7B,coherence,zh_CN,46,0.653804347826087,0.19394942163748732,0.028596282121342062,0.2966474944413771,0.3,0.4291666666666667,0.5104166666666666,0.6541666666666667,0.7666666666666667,0.9375,1.0,0.2562500000000001,0.7,32,0.6956521739130435
Qwen3-235B,coherence,zh_CN,46,0.6943840579710144,0.19175967427609897,0.02827342148689394,0.2761579446919036,0.2916666666666667,0.45833333333333337,0.5770833333333333,0.7124999999999999,0.8479166666666667,1.0,1.0,0.27083333333333337,0.7083333333333333,28,0.6086956521739131
AyaExpanse-32B,coherence,zh_CN,46,0.5539855072463767,0.19063522087907453,0.02810762987843164,0.344115899036132,0.24166666666666667,0.35833333333333334,0.4083333333333333,0.5041666666666667,0.675,0.8208333333333333,1.0,0.2666666666666667,0.7583333333333333,33,0.717391304347826
Llama-4-Maverick,coherence,zh_CN,46,0.6195652173913043,0.18925795147201552,0.02790456258290256,0.3054689743057093,0.3,0.37083333333333335,0.46249999999999997,0.575,0.7666666666666667,0.875,1.0,0.30416666666666675,0.7,32,0.6956521739130435
Qwen2.5-7B,coherence,zh_CN,46,0.5793478260869566,0.18783808310431857,0.027695214413286862,0.3242233329380358,0.2833333333333333,0.3375,0.45,0.5541666666666667,0.7645833333333334,0.825,1.0,0.3145833333333334,0.7166666666666667,33,0.717391304347826
CommandA,coherence,zh_CN,46,0.7105072463768115,0.18472063309766493,0.02723557148609075,0.25998416489013526,0.3,0.47916666666666663,0.56875,0.7583333333333333,0.875,0.9416666666666667,1.0,0.30625,0.7,32,0.6956521739130435
DeepSeek-V3,coherence,zh_CN,46,0.5802536231884058,0.17363540892771373,0.025601144350057604,0.29924054239181386,0.275,0.3416666666666667,0.4666666666666667,0.5458333333333334,0.7416666666666667,0.8666666666666667,0.8833333333333333,0.275,0.6083333333333333,27,0.5869565217391305
Claude-4,coherence,zh_CN,46,0.6186594202898551,0.16642746522401594,0.024538391030530026,0.26901306238259676,0.3,0.43333333333333335,0.49374999999999997,0.575,0.75625,0.875,1.0,0.2625,0.7,29,0.6304347826086957
Mistral-Medium,coherence,zh_CN,46,0.6409420289855072,0.16142523101007455,0.023800851832881553,0.251856211185871,0.2916666666666667,0.4291666666666667,0.51875,0.6666666666666667,0.7583333333333333,0.8333333333333333,1.0,0.23958333333333326,0.7083333333333333,28,0.6086956521739131
Llama-3.1-8B,coherence,zh_CN,46,0.4784420289855073,0.15235371537764342,0.022463329822746177,0.31843714838492676,0.225,0.30833333333333335,0.3958333333333333,0.43333333333333335,0.5729166666666666,0.675,1.0,0.17708333333333331,0.775,21,0.45652173913043476
Mistral-7B,instruction_following,ar_EG,46,0.5889492753623188,0.2515265390350875,0.03708556494020439,0.4270767442244488,0.225,0.27083333333333337,0.32499999999999996,0.6041666666666667,0.8166666666666667,0.8791666666666667,1.0,0.4916666666666667,0.775,36,0.782608695652174
AyaExpanse-8B,instruction_following,ar_EG,46,0.5980072463768116,0.23573620420082805,0.03475740708390037,0.3942029225048685,0.25833333333333336,0.29583333333333334,0.4125,0.55,0.775,1.0,1.0,0.36250000000000004,0.7416666666666667,33,0.717391304347826
DeepSeek-V3,instruction_following,ar_EG,46,0.6594202898550725,0.1971213254873491,0.029063953829700933,0.29893124084894696,0.175,0.3666666666666667,0.55,0.6708333333333334,0.7875,0.8833333333333333,1.0,0.23749999999999993,0.825,28,0.6086956521739131
AyaExpanse-32B,instruction_following,ar_EG,46,0.6233695652173914,0.19274350932385095,0.02841848005086824,0.3091962137366048,0.225,0.375,0.47291666666666665,0.6333333333333333,0.7666666666666667,0.875,1.0,0.29375000000000007,0.775,32,0.6956521739130435
CommandR7B,instruction_following,ar_EG,46,0.5954710144927535,0.18457246662887303,0.02721372553209551,0.3099604550627865,0.275,0.3416666666666667,0.48333333333333334,0.5583333333333333,0.7437499999999999,0.875,1.0,0.2604166666666666,0.725,26,0.5652173913043478
GPT-4.1,instruction_following,ar_EG,46,0.5630434782608696,0.17307719834267996,0.025518840689453853,0.3073957962842964,0.225,0.3625,0.425,0.5583333333333333,0.6708333333333334,0.8416666666666667,0.8916666666666667,0.2458333333333334,0.6666666666666667,25,0.5434782608695652
Qwen3-235B,instruction_following,ar_EG,46,0.6719202898550725,0.16980706822355646,0.02503668630780924,0.2527190662157001,0.2833333333333333,0.45,0.5375,0.6875,0.7833333333333333,0.875,0.9916666666666667,0.24583333333333335,0.7083333333333334,29,0.6304347826086957
Llama-4-Maverick,instruction_following,ar_EG,46,0.5788043478260869,0.16722781941296314,0.024656396817765165,0.2889194250890631,0.16666666666666666,0.3875,0.45208333333333334,0.55,0.7437499999999999,0.7833333333333333,1.0,0.2916666666666666,0.8333333333333334,26,0.5652173913043478
CommandA,instruction_following,ar_EG,46,0.6021739130434781,0.15648960426373196,0.02307313337055037,0.25987443307334557,0.25833333333333336,0.4166666666666667,0.46875,0.6041666666666666,0.75625,0.7875,0.8916666666666667,0.2875,0.6333333333333333,27,0.5869565217391305
Claude-4,instruction_following,ar_EG,46,0.5099637681159419,0.14532445144896494,0.021426921398772766,0.2849701499105814,0.25833333333333336,0.3333333333333333,0.41041666666666665,0.475,0.63125,0.725,0.7833333333333333,0.22083333333333333,0.5249999999999999,27,0.5869565217391305
Qwen2.5-7B,instruction_following,ar_EG,46,0.5217391304347826,0.13517796067431465,0.019930902950850708,0.2590910912924364,0.23333333333333334,0.3666666666666667,0.44375,0.5041666666666667,0.58125,0.6833333333333333,0.8916666666666667,0.13750000000000007,0.6583333333333334,19,0.41304347826086957
Mistral-Medium,instruction_following,ar_EG,46,0.5403985507246376,0.12473388204969114,0.01839100756820067,0.23081831341411171,0.26666666666666666,0.4,0.44375,0.5458333333333334,0.6125,0.6833333333333333,0.8916666666666667,0.16875000000000007,0.625,21,0.45652173913043476
Llama-3.1-8B,instruction_following,ar_EG,46,0.4697463768115942,0.11520725681838717,0.016986383308542616,0.24525416800520525,0.21666666666666667,0.35833333333333334,0.39166666666666666,0.45416666666666666,0.5270833333333333,0.6375,0.7833333333333333,0.13541666666666669,0.5666666666666667,15,0.32608695652173914
AyaExpanse-8B,instruction_following,bn_BD,46,0.35652173913043483,0.14584696278615214,0.021503961492440757,0.4090829444001828,0.125,0.21666666666666667,0.25833333333333336,0.3416666666666667,0.4083333333333333,0.48333333333333334,0.875,0.14999999999999997,0.75,20,0.43478260869565216
CommandR7B,instruction_following,bn_BD,46,0.3817028985507247,0.12482851898466764,0.01840496102301811,0.32703057655214296,0.175,0.24166666666666667,0.3020833333333333,0.36666666666666664,0.43125,0.5166666666666666,0.875,0.1291666666666667,0.7,16,0.34782608695652173
Qwen2.5-7B,instruction_following,bn_BD,46,0.468840579710145,0.11110326059222732,0.01638128207690529,0.23697449709006752,0.24166666666666667,0.325,0.4083333333333333,0.4666666666666667,0.50625,0.6,0.7833333333333333,0.09791666666666665,0.5416666666666666,14,0.30434782608695654
Mistral-Medium,instruction_following,bn_BD,46,0.4907608695652173,0.1110448171795376,0.01637266506581395,0.22627072382098473,0.275,0.32916666666666666,0.4166666666666667,0.49166666666666664,0.5583333333333333,0.6375,0.7333333333333333,0.14166666666666666,0.45833333333333326,21,0.45652173913043476
DeepSeek-V3,instruction_following,bn_BD,46,0.49673913043478257,0.10691346248005425,0.015763530047352398,0.21523060280448558,0.3,0.35,0.425,0.49583333333333335,0.55,0.6458333333333334,0.7166666666666667,0.12500000000000006,0.4166666666666667,18,0.391304347826087
Llama-3.1-8B,instruction_following,bn_BD,46,0.409963768115942,0.10188985164360047,0.015022839038664713,0.24853379632022743,0.21666666666666667,0.275,0.34375,0.42083333333333334,0.4583333333333333,0.5166666666666667,0.6666666666666666,0.11458333333333331,0.44999999999999996,13,0.2826086956521739
Claude-4,instruction_following,bn_BD,46,0.4952898550724638,0.09967001378488799,0.014695541802429449,0.2012357264420562,0.3,0.36666666666666664,0.4083333333333333,0.5125,0.55625,0.6083333333333333,0.7333333333333333,0.1479166666666667,0.4333333333333333,17,0.3695652173913043
CommandA,instruction_following,bn_BD,46,0.4710144927536233,0.09814229922109859,0.014470292578698012,0.20836365065402465,0.3,0.3458333333333333,0.39375,0.4666666666666667,0.5375,0.6041666666666666,0.6666666666666666,0.14375,0.36666666666666664,18,0.391304347826087
Qwen3-235B,instruction_following,bn_BD,46,0.4929347826086957,0.09743575584133086,0.014366118440676768,0.19766459839917175,0.30833333333333335,0.36666666666666664,0.4270833333333333,0.4875,0.56875,0.6208333333333333,0.725,0.14166666666666666,0.41666666666666663,17,0.3695652173913043
GPT-4.1,instruction_following,bn_BD,46,0.48731884057971014,0.0969080500044393,0.014288312459811119,0.19885964164479739,0.31666666666666665,0.3625,0.41875,0.48333333333333334,0.5416666666666666,0.625,0.725,0.12291666666666662,0.4083333333333333,15,0.32608695652173914
Mistral-7B,instruction_following,bn_BD,46,0.31684782608695644,0.09085480769661468,0.013395810572865872,0.286745876778338,0.125,0.2,0.25833333333333336,0.31666666666666665,0.37083333333333335,0.4458333333333333,0.5166666666666667,0.11249999999999999,0.3916666666666667,12,0.2608695652173913
Llama-4-Maverick,instruction_following,bn_BD,46,0.47282608695652173,0.09029161915445426,0.013312772952525715,0.19096158533815613,0.31666666666666665,0.33333333333333337,0.4145833333333333,0.4875,0.5437500000000001,0.5833333333333334,0.6333333333333333,0.12916666666666676,0.31666666666666665,19,0.41304347826086957
AyaExpanse-32B,instruction_following,bn_BD,46,0.4300724637681158,0.08567953248375287,0.012632757871841576,0.19922115387966133,0.25833333333333336,0.32916666666666666,0.3729166666666667,0.425,0.4979166666666667,0.5333333333333333,0.6,0.125,0.3416666666666666,10,0.21739130434782608
GPT-4.1,instruction_following,cs_CZ,46,0.49039855072463767,0.17009408608564178,0.025079004782846494,0.34684867203278263,0.26666666666666666,0.3041666666666667,0.3520833333333333,0.4708333333333333,0.56875,0.7166666666666667,0.9833333333333333,0.21666666666666667,0.7166666666666666,24,0.5217391304347826
Mistral-7B,instruction_following,cs_CZ,46,0.3865942028985507,0.15423525262024892,0.022740747354374227,0.3989590414544396,0.15,0.24166666666666667,0.2833333333333333,0.3333333333333333,0.4666666666666667,0.6125,0.875,0.18333333333333335,0.725,24,0.5217391304347826
Qwen3-235B,instruction_following,cs_CZ,46,0.4782608695652173,0.15382447770415295,0.02268018189720567,0.3216329988359562,0.275,0.30833333333333335,0.3666666666666667,0.44999999999999996,0.5729166666666666,0.6625000000000001,0.8833333333333333,0.20624999999999993,0.6083333333333333,21,0.45652173913043476
CommandA,instruction_following,cs_CZ,46,0.4923913043478261,0.15360710349359813,0.022648131818383842,0.31196144638876444,0.2833333333333333,0.3333333333333333,0.39375,0.4666666666666667,0.5375,0.6833333333333333,0.9833333333333333,0.14375,0.7,21,0.45652173913043476
DeepSeek-V3,instruction_following,cs_CZ,46,0.44927536231884063,0.15251822484660524,0.022487585420655914,0.3394760488521213,0.15,0.29583333333333334,0.31666666666666665,0.44166666666666665,0.5229166666666667,0.6166666666666667,0.875,0.20625000000000004,0.725,23,0.5
AyaExpanse-32B,instruction_following,cs_CZ,46,0.41431159420289854,0.14679353775553186,0.021643526357573366,0.35430709593814425,0.20833333333333334,0.25416666666666665,0.30833333333333335,0.42083333333333334,0.49166666666666664,0.5375,0.875,0.1833333333333333,0.6666666666666666,20,0.43478260869565216
AyaExpanse-8B,instruction_following,cs_CZ,46,0.3704710144927535,0.14496387929985863,0.021373757935773556,0.39129614363580434,0.15,0.25,0.2833333333333333,0.3333333333333333,0.41666666666666663,0.5458333333333334,0.875,0.1333333333333333,0.725,17,0.3695652173913043
Llama-4-Maverick,instruction_following,cs_CZ,46,0.42137681159420287,0.14365867656213274,0.021181316290944524,0.340926867851665,0.24166666666666667,0.275,0.30833333333333335,0.4083333333333333,0.4979166666666667,0.6166666666666667,0.8916666666666667,0.18958333333333333,0.65,24,0.5217391304347826
Mistral-Medium,instruction_following,cs_CZ,46,0.4847826086956522,0.14108600331994864,0.02080199631556954,0.29102942388868325,0.26666666666666666,0.33333333333333337,0.37916666666666665,0.4625,0.525,0.6791666666666667,0.8916666666666667,0.14583333333333337,0.625,20,0.43478260869565216
CommandR7B,instruction_following,cs_CZ,46,0.40253623188405796,0.14010434344851733,0.02065725846384694,0.3480539945255696,0.15,0.2833333333333333,0.3104166666666667,0.36666666666666664,0.43333333333333335,0.5874999999999999,0.875,0.12291666666666667,0.725,17,0.3695652173913043
Claude-4,instruction_following,cs_CZ,46,0.4909420289855072,0.12623251727083823,0.018611969276769225,0.2571230610092351,0.3,0.32916666666666666,0.41041666666666665,0.4666666666666667,0.58125,0.6333333333333333,0.875,0.1708333333333334,0.575,16,0.34782608695652173
Llama-3.1-8B,instruction_following,cs_CZ,46,0.37554347826086953,0.10828919576525028,0.015966370854069104,0.2883532853951672,0.2,0.25833333333333336,0.3,0.35416666666666663,0.42083333333333334,0.5291666666666667,0.675,0.12083333333333335,0.47500000000000003,18,0.391304347826087
Qwen2.5-7B,instruction_following,cs_CZ,46,0.37518115942028984,0.0971426520485257,0.014322902644109153,0.2589219890429077,0.20833333333333334,0.2625,0.29375,0.37083333333333335,0.43333333333333335,0.49166666666666664,0.6833333333333333,0.13958333333333334,0.475,15,0.32608695652173914
Mistral-7B,instruction_following,de_DE,46,0.5347826086956522,0.29450892558015423,0.04342297209261496,0.5507077470198006,0.23333333333333334,0.2583333333333333,0.2916666666666667,0.4083333333333333,0.875,1.0,1.0,0.5833333333333333,0.7666666666666666,41,0.8913043478260869
CommandR7B,instruction_following,de_DE,46,0.5355072463768117,0.2762928911042016,0.040737164336095456,0.5159461295315265,0.20833333333333334,0.2791666666666667,0.30833333333333335,0.41666666666666663,0.875,0.9375,1.0,0.5666666666666667,0.7916666666666666,40,0.8695652173913043
AyaExpanse-32B,instruction_following,de_DE,46,0.5579710144927535,0.2728844355960099,0.04023461498850074,0.4890656118473944,0.24166666666666667,0.2791666666666667,0.34375,0.4458333333333333,0.875,1.0,1.0,0.53125,0.7583333333333333,37,0.8043478260869565
CommandA,instruction_following,de_DE,46,0.5702898550724639,0.2686652661363703,0.039612532390022485,0.4711030079646645,0.20833333333333334,0.2791666666666667,0.34375,0.49583333333333335,0.8479166666666667,1.0,1.0,0.5041666666666667,0.7916666666666666,39,0.8478260869565217
AyaExpanse-8B,instruction_following,de_DE,46,0.525,0.26733134754965804,0.03941585682424625,0.5092025667612534,0.15833333333333333,0.2625,0.3125,0.43333333333333335,0.74375,1.0,1.0,0.43125,0.8416666666666667,35,0.7608695652173914
Qwen3-235B,instruction_following,de_DE,46,0.5900362318840581,0.2632044900763472,0.038807384885608844,0.4460819113360259,0.25,0.2875,0.3770833333333333,0.525,0.875,1.0,1.0,0.4979166666666667,0.75,34,0.7391304347826086
DeepSeek-V3,instruction_following,de_DE,46,0.577536231884058,0.25548229363652986,0.03766880913670979,0.4423658283794369,0.25833333333333336,0.2875,0.36041666666666666,0.49583333333333335,0.8479166666666667,1.0,1.0,0.4875,0.7416666666666667,36,0.782608695652174
