judge_model_name,criterion,locale,original_instance_id_with_locale,original_instance_id,acc_eq_prompt,group_mean,abs_deviation_from_group_mean,is_unstable_abs_dev_gt_threshold
AyaExpanse-32B,coherence,cs_CZ,a87d8ce85c5e14f8054f86aaa36f49ad_with_cs_CZ,a87d8ce85c5e14f8054f86aaa36f49ad,0.30833333333333335,0.415036231884058,0.10670289855072468,True
AyaExpanse-32B,coherence,cs_CZ,a8de3aee209e73291020dfca4bc9547d_with_cs_CZ,a8de3aee209e73291020dfca4bc9547d,0.35,0.415036231884058,0.06503623188405805,False
AyaExpanse-32B,coherence,cs_CZ,aec42313c4c01a4d1e2240d54ab41992_with_cs_CZ,aec42313c4c01a4d1e2240d54ab41992,0.55,0.415036231884058,0.13496376811594202,True
AyaExpanse-32B,coherence,cs_CZ,b15d69d9ac2994c645e9c261a9036af5_with_cs_CZ,b15d69d9ac2994c645e9c261a9036af5,0.325,0.415036231884058,0.09003623188405802,False
AyaExpanse-32B,coherence,cs_CZ,b400d942abc879906d5d2e7cbf1445b5_with_cs_CZ,b400d942abc879906d5d2e7cbf1445b5,0.35833333333333334,0.415036231884058,0.05670289855072469,False
AyaExpanse-32B,coherence,cs_CZ,b9b10ffcbee1477b164fd32d4ef7fb40_with_cs_CZ,b9b10ffcbee1477b164fd32d4ef7fb40,0.35,0.415036231884058,0.06503623188405805,False
AyaExpanse-32B,coherence,cs_CZ,c145f96bc4b6c5d0d18e06e89cb629bd_with_cs_CZ,c145f96bc4b6c5d0d18e06e89cb629bd,0.325,0.415036231884058,0.09003623188405802,False
AyaExpanse-32B,coherence,cs_CZ,c78e58efb81dc261314dbe9683046b8a_with_cs_CZ,c78e58efb81dc261314dbe9683046b8a,0.44166666666666665,0.415036231884058,0.026630434782608625,False
AyaExpanse-32B,coherence,cs_CZ,cb75a2b7d6041b0ce85ec4218fe2f5e0_with_cs_CZ,cb75a2b7d6041b0ce85ec4218fe2f5e0,0.35833333333333334,0.415036231884058,0.05670289855072469,False
AyaExpanse-32B,coherence,cs_CZ,d48c3ed115b970b0947d892881d35aa9_with_cs_CZ,d48c3ed115b970b0947d892881d35aa9,0.55,0.415036231884058,0.13496376811594202,True
AyaExpanse-32B,coherence,cs_CZ,df85068ad8d348d04f95ee17882f0da4_with_cs_CZ,df85068ad8d348d04f95ee17882f0da4,0.45,0.415036231884058,0.034963768115941984,False
AyaExpanse-32B,coherence,cs_CZ,dff06d843446af8648fc9ff9afacb718_with_cs_CZ,dff06d843446af8648fc9ff9afacb718,0.45,0.415036231884058,0.034963768115941984,False
AyaExpanse-32B,coherence,cs_CZ,e164924261a2ff3dddb8d1e0b4e5fdb6_with_cs_CZ,e164924261a2ff3dddb8d1e0b4e5fdb6,0.525,0.415036231884058,0.109963768115942,True
